transport_type,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,year,month,day,hour,minute,seconds,temp,humidity,visibility,wind,rain
0,0089,39,,,,2020-11-01 23:30:53.024515,,2020,11,6,23,30,53,290.54,93,10000,8.2,0
0,0089,44,,,,2020-11-01 23:30:53.463017,,2020,11,6,23,30,53,290.54,93,10000,8.2,0
0,6608G,51,,,,2020-11-01 23:30:55.581937,,2020,11,6,23,30,55,290.54,93,10000,8.2,0
0,6608G,82,,,,2020-11-01 23:30:57.721204,,2020,11,6,23,30,57,290.54,93,10000,8.2,0
0,0089,39,,,,2020-11-01 23:31:58.861441,,2020,11,6,23,31,58,290.54,93,10000,8.2,0
0,0089,44,,,,2020-11-01 23:31:59.299036,,2020,11,6,23,31,59,290.54,93,10000,8.2,0
0,6608G,51,,,,2020-11-01 23:32:01.447281,,2020,11,6,23,32,1,290.54,93,10000,8.2,0
0,6608G,82,,,,2020-11-01 23:32:03.574367,,2020,11,6,23,32,3,290.54,93,10000,8.2,0
0,0089,39,,,,2020-11-01 23:33:04.671073,,2020,11,6,23,33,4,290.54,93,10000,8.2,0
0,0089,44,,,,2020-11-01 23:33:05.109814,,2020,11,6,23,33,5,290.54,93,10000,8.2,0
0,6608G,51,,,,2020-11-01 23:33:07.238471,,2020,11,6,23,33,7,290.54,93,10000,8.2,0
0,6608G,82,,,,2020-11-01 23:33:09.367370,,2020,11,6,23,33,9,290.54,93,10000,8.2,0
0,0089,39,,,,2020-11-01 23:34:10.520700,,2020,11,6,23,34,10,290.54,93,10000,8.2,0
0,0089,44,,,,2020-11-01 23:34:10.959734,,2020,11,6,23,34,10,290.54,93,10000,8.2,0
0,6608G,51,,,,2020-11-01 23:34:13.102736,,2020,11,6,23,34,13,290.54,93,10000,8.2,0
0,6608G,82,,,,2020-11-01 23:34:15.229889,,2020,11,6,23,34,15,290.54,93,10000,8.2,0
0,0089,39,,,,2020-11-01 23:35:16.304480,,2020,11,6,23,35,16,290.54,93,10000,8.2,0
0,0089,44,,,,2020-11-01 23:35:16.745534,,2020,11,6,23,35,16,290.54,93,10000,8.2,0
0,6608G,51,,,,2020-11-01 23:35:18.891707,,2020,11,6,23,35,18,290.54,93,10000,8.2,0
0,6608G,82,,,,2020-11-01 23:35:21.029546,,2020,11,6,23,35,21,290.54,93,10000,8.2,0
0,0089,39,,,,2020-11-01 23:36:22.098746,,2020,11,6,23,36,22,290.54,93,10000,8.2,0
0,0089,44,,,,2020-11-01 23:36:22.542027,,2020,11,6,23,36,22,290.54,93,10000,8.2,0
0,6608G,51,,,,2020-11-01 23:36:24.665064,,2020,11,6,23,36,24,290.54,93,10000,8.2,0
0,6608G,82,,,,2020-11-01 23:36:26.811011,,2020,11,6,23,36,26,290.54,93,10000,8.2,0
0,0089,39,,,,2020-11-01 23:37:28.001147,,2020,11,6,23,37,28,290.54,93,10000,8.2,0
0,0089,44,,,,2020-11-01 23:37:28.442054,,2020,11,6,23,37,28,290.54,93,10000,8.2,0
0,6608G,51,,,,2020-11-01 23:37:30.562158,,2020,11,6,23,37,30,290.54,93,10000,8.2,0
0,6608G,82,,,,2020-11-01 23:37:32.697397,,2020,11,6,23,37,32,290.54,93,10000,8.2,0
0,0089,39,,,,2020-11-01 23:38:33.858656,,2020,11,6,23,38,33,290.54,93,10000,8.2,0
0,0089,44,,,,2020-11-01 23:38:34.294607,,2020,11,6,23,38,34,290.54,93,10000,8.2,0
0,6608G,51,,,,2020-11-01 23:38:36.420082,,2020,11,6,23,38,36,290.54,93,10000,8.2,0
0,6608G,82,,,,2020-11-01 23:38:38.541447,,2020,11,6,23,38,38,290.54,93,10000,8.2,0
0,0089,39,,,,2020-11-01 23:39:39.609796,,2020,11,6,23,39,39,290.54,93,10000,8.2,0
0,0089,44,,,,2020-11-01 23:39:40.048987,,2020,11,6,23,39,40,290.54,93,10000,8.2,0
0,6608G,51,,,,2020-11-01 23:39:42.176652,,2020,11,6,23,39,42,290.54,93,10000,8.2,0
0,6608G,82,,,,2020-11-01 23:39:44.306286,,2020,11,6,23,39,44,290.54,93,10000,8.2,0
0,0089,39,,,,2020-11-01 23:40:45.324963,,2020,11,6,23,40,45,290.54,93,10000,8.2,0
0,0089,44,,,,2020-11-01 23:40:45.760689,,2020,11,6,23,40,45,290.54,93,10000,8.2,0
0,6608G,51,,,,2020-11-01 23:40:47.888696,,2020,11,6,23,40,47,290.54,93,10000,8.2,0
0,6608G,82,,,,2020-11-01 23:40:50.001337,,2020,11,6,23,40,50,290.54,93,10000,8.2,0
0,0089,39,,,,2020-11-01 23:41:51.159025,,2020,11,6,23,41,51,290.54,93,10000,8.2,0
0,0089,44,,,,2020-11-01 23:41:51.594506,,2020,11,6,23,41,51,290.54,93,10000,8.2,0
0,6608G,51,,,,2020-11-01 23:41:53.703770,,2020,11,6,23,41,53,290.54,93,10000,8.2,0
0,6608G,82,,,,2020-11-01 23:41:55.821606,,2020,11,6,23,41,55,290.54,93,10000,8.2,0
0,0089,39,,,,2020-11-01 23:42:57.037776,,2020,11,6,23,42,57,290.54,93,10000,8.2,0
0,0089,44,,,,2020-11-01 23:42:57.473234,,2020,11,6,23,42,57,290.54,93,10000,8.2,0
0,6608G,51,,,,2020-11-01 23:42:59.599428,,2020,11,6,23,42,59,290.54,93,10000,8.2,0
0,6608G,82,,,,2020-11-01 23:43:01.720305,,2020,11,6,23,43,1,290.54,93,10000,8.2,0
0,0089,39,,,,2020-11-01 23:44:02.850769,,2020,11,6,23,44,2,290.54,93,10000,8.2,0
0,0089,44,,,,2020-11-01 23:44:03.289047,,2020,11,6,23,44,3,290.54,93,10000,8.2,0
0,6608G,51,,,,2020-11-01 23:44:05.429593,,2020,11,6,23,44,5,290.54,93,10000,8.2,0
0,6608G,82,,,,2020-11-01 23:44:07.553976,,2020,11,6,23,44,7,290.54,93,10000,8.2,0
0,0089,39,,,,2020-11-01 23:45:08.677643,,2020,11,6,23,45,8,290.54,93,10000,8.2,0
0,0089,44,,,,2020-11-01 23:45:09.116472,,2020,11,6,23,45,9,290.54,93,10000,8.2,0
0,6608G,51,,,,2020-11-01 23:45:11.247415,,2020,11,6,23,45,11,290.54,93,10000,8.2,0
0,6608G,82,,,,2020-11-01 23:45:13.362869,,2020,11,6,23,45,13,290.54,93,10000,8.2,0
0,0089,39,,,,2020-11-01 23:46:14.433770,,2020,11,6,23,46,14,290.54,93,10000,8.2,0
