transport_type,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,year,month,day,hour,minute,seconds,temp,humidity,visibility,wind,rain
0,0089,39,,,,2020-11-10 23:59:57.066018,,2020,11,1,23,59,57,282.76,93,700,1.5,0
0,0089,44,,,,2020-11-10 23:59:57.506916,,2020,11,1,23,59,57,282.76,93,700,1.5,0
0,6608G,51,,,,2020-11-10 23:59:58.809690,,2020,11,1,23,59,58,282.76,93,700,1.5,0
0,6608G,82,,,,2020-11-11 00:00:00.521807,,2020,11,2,0,0,0,282.76,93,700,1.5,0
0,0089,39,,,,2020-11-11 00:01:08.075972,,2020,11,2,0,1,8,282.76,93,700,1.5,0
0,0089,44,,,,2020-11-11 00:01:08.076395,,2020,11,2,0,1,8,282.76,93,700,1.5,0
0,6608G,51,,,,2020-11-11 00:01:09.369307,,2020,11,2,0,1,9,282.76,93,700,1.5,0
0,6608G,82,,,,2020-11-11 00:01:11.080580,,2020,11,2,0,1,11,282.76,93,700,1.5,0
0,0089,39,,,,2020-11-11 00:02:12.810767,,2020,11,2,0,2,12,282.76,93,700,1.5,0
0,0089,44,,,,2020-11-11 00:02:12.811229,,2020,11,2,0,2,12,282.76,93,700,1.5,0
0,6608G,51,,,,2020-11-11 00:02:14.100485,,2020,11,2,0,2,14,282.76,93,700,1.5,0
0,6608G,82,,,,2020-11-11 00:02:15.810607,,2020,11,2,0,2,15,282.76,93,700,1.5,0
0,0089,39,,,,2020-11-11 00:03:16.990825,,2020,11,2,0,3,16,282.76,93,700,1.5,0
0,0089,44,,,,2020-11-11 00:03:16.991235,,2020,11,2,0,3,16,282.6,93,700,1.5,0
0,6608G,51,,,,2020-11-11 00:03:18.296626,,2020,11,2,0,3,18,282.6,93,700,1.5,0
0,6608G,82,,,,2020-11-11 00:03:20.023424,,2020,11,2,0,3,20,282.6,93,700,1.5,0
0,0089,39,,,,2020-11-11 00:04:21.442958,,2020,11,2,0,4,21,282.6,93,700,1.5,0
0,0089,44,,,,2020-11-11 00:04:21.443372,,2020,11,2,0,4,21,282.6,93,700,1.5,0
