transport_type,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,year,month,day,hour,minute,seconds,temp,humidity,visibility,wind,rain
0,0089,39,,,,2020-11-07 00:00:45.247917,,2020,11,5,0,0,45,276.7,75,10000,1.5,0
0,0089,44,,,,2020-11-07 00:00:45.687770,,2020,11,5,0,0,45,276.7,75,10000,1.5,0
0,6608G,51,,,,2020-11-07 00:00:47.822593,,2020,11,5,0,0,47,276.7,75,10000,1.5,0
0,6608G,82,,,,2020-11-07 00:00:49.942003,,2020,11,5,0,0,49,276.7,75,10000,1.5,0
0,0089,39,,,,2020-11-07 00:01:51.336700,,2020,11,5,0,1,51,276.7,75,10000,1.5,0
0,0089,44,,,,2020-11-07 00:01:51.337309,,2020,11,5,0,1,51,276.7,75,10000,1.5,0
0,6608G,51,,,,2020-11-07 00:01:53.720973,,2020,11,5,0,1,53,276.7,75,10000,1.5,0
0,6608G,82,,,,2020-11-07 00:01:56.075189,,2020,11,5,0,1,56,276.7,75,10000,1.5,0
0,0089,39,,,,2020-11-07 00:02:59.544438,,2020,11,5,0,2,59,276.7,75,10000,1.5,0
0,0089,44,,,,2020-11-07 00:02:59.544852,,2020,11,5,0,2,59,276.7,75,10000,1.5,0
0,6608G,51,,,,2020-11-07 00:03:01.688614,,2020,11,5,0,3,1,276.7,75,10000,1.5,0
0,6608G,82,,,,2020-11-07 00:03:03.831971,,2020,11,5,0,3,3,276.7,75,10000,1.5,0
0,0089,39,,,,2020-11-07 00:04:06.855475,,2020,11,5,0,4,6,276.7,75,10000,1.5,0
0,0089,44,,,,2020-11-07 00:04:06.855885,,2020,11,5,0,4,6,276.7,75,10000,1.5,0
0,6608G,51,,,,2020-11-07 00:04:08.997658,,2020,11,5,0,4,8,276.7,75,10000,1.5,0
0,6608G,82,,,,2020-11-07 00:04:11.138779,,2020,11,5,0,4,11,276.7,75,10000,1.5,0
0,0089,39,,,,2020-11-07 00:05:12.428214,,2020,11,5,0,5,12,276.7,75,10000,1.5,0
0,0089,44,,,,2020-11-07 00:05:12.428634,,2020,11,5,0,5,12,276.7,75,10000,1.5,0
0,6608G,51,,,,2020-11-07 00:05:14.587670,,2020,11,5,0,5,14,276.7,75,10000,1.5,0
0,6608G,82,,,,2020-11-07 00:05:16.736805,,2020,11,5,0,5,16,276.7,75,10000,1.5,0
0,0089,39,,,,2020-11-07 00:06:21.657852,,2020,11,5,0,6,21,276.62,75,10000,1.5,0
0,0089,44,,,,2020-11-07 00:06:21.658306,,2020,11,5,0,6,21,276.62,75,10000,1.5,0
0,6608G,51,,,,2020-11-07 00:06:23.800089,,2020,11,5,0,6,23,276.62,75,10000,1.5,0
0,6608G,82,,,,2020-11-07 00:06:25.954919,,2020,11,5,0,6,25,276.62,75,10000,1.5,0
0,0089,39,,,,2020-11-07 00:07:27.076643,,2020,11,5,0,7,27,276.62,75,10000,1.5,0
0,0089,44,,,,2020-11-07 00:07:27.077056,,2020,11,5,0,7,27,276.62,75,10000,1.5,0
0,6608G,51,,,,2020-11-07 00:07:29.239682,,2020,11,5,0,7,29,276.62,75,10000,1.5,0
0,6608G,82,,,,2020-11-07 00:07:31.381166,,2020,11,5,0,7,31,276.62,75,10000,1.5,0
0,0089,39,,,,2020-11-07 00:08:33.000495,,2020,11,5,0,8,33,276.62,75,10000,1.5,0
0,0089,44,,,,2020-11-07 00:08:33.000906,,2020,11,5,0,8,33,276.62,75,10000,1.5,0
0,6608G,51,,,,2020-11-07 00:08:35.190830,,2020,11,5,0,8,35,276.62,75,10000,1.5,0
0,6608G,82,,,,2020-11-07 00:08:37.335635,,2020,11,5,0,8,37,276.62,75,10000,1.5,0
0,0089,39,,,,2020-11-07 00:09:38.722810,,2020,11,5,0,9,38,276.62,75,10000,1.5,0
0,0089,44,,,,2020-11-07 00:09:38.723220,,2020,11,5,0,9,38,276.62,75,10000,1.5,0
0,6608G,51,,,,2020-11-07 00:09:40.867381,,2020,11,5,0,9,40,276.62,75,10000,1.5,0
0,6608G,82,,,,2020-11-07 00:09:42.999371,,2020,11,5,0,9,42,276.62,75,10000,1.5,0
0,0089,39,,,,2020-11-07 00:10:45.597921,,2020,11,5,0,10,45,276.62,75,10000,1.5,0
0,0089,44,,,,2020-11-07 00:10:45.598639,,2020,11,5,0,10,45,276.62,75,10000,1.5,0
0,6608G,51,,,,2020-11-07 00:10:47.736523,,2020,11,5,0,10,47,276.62,75,10000,1.5,0
0,6608G,82,,,,2020-11-07 00:10:49.879298,,2020,11,5,0,10,49,276.62,75,10000,1.5,0
0,0089,39,,,,2020-11-07 00:11:50.878279,,2020,11,5,0,11,50,276.62,75,10000,1.5,0
0,0089,44,,,,2020-11-07 00:11:50.879032,,2020,11,5,0,11,50,276.62,75,10000,1.5,0
0,6608G,51,,,,2020-11-07 00:11:53.024240,,2020,11,5,0,11,53,276.62,75,10000,1.5,0
0,6608G,82,,,,2020-11-07 00:11:55.169576,,2020,11,5,0,11,55,276.62,75,10000,1.5,0
0,0089,39,,,,2020-11-07 00:12:58.779805,,2020,11,5,0,12,58,276.62,75,10000,1.5,0
0,0089,44,,,,2020-11-07 00:12:58.780496,,2020,11,5,0,12,58,276.62,75,10000,1.5,0
0,6608G,51,,,,2020-11-07 00:13:00.913508,,2020,11,5,0,13,0,276.62,75,10000,1.5,0
0,6608G,82,,,,2020-11-07 00:13:03.032036,,2020,11,5,0,13,3,276.62,75,10000,1.5,0
0,0089,39,,,,2020-11-07 00:14:03.899082,,2020,11,5,0,14,3,276.62,75,10000,1.5,0
0,0089,44,,,,2020-11-07 00:14:03.899682,,2020,11,5,0,14,3,276.62,75,10000,1.5,0
