transport_type,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,year,month,day,hour,minute,seconds,temp,humidity,visibility,wind,rain
0,0089,39,,,,2020-11-12 00:00:05.075249,,2020,11,3,0,0,5,284,81,10000,5.7,0
0,0089,44,,,,2020-11-12 00:00:05.529572,,2020,11,3,0,0,5,284,81,10000,5.7,0
0,6608G,51,,,,2020-11-12 00:00:06.836789,,2020,11,3,0,0,6,284,81,10000,5.7,0
0,6608G,82,,,,2020-11-12 00:00:08.564803,,2020,11,3,0,0,8,284,81,10000,5.7,0
0,0089,39,,,,2020-11-12 00:01:17.096584,,2020,11,3,0,1,17,284,81,10000,5.7,0
0,0089,44,,,,2020-11-12 00:01:17.097030,,2020,11,3,0,1,17,284,81,10000,5.7,0
0,6608G,51,,,,2020-11-12 00:01:18.392131,,2020,11,3,0,1,18,284,81,10000,5.7,0
0,6608G,82,,,,2020-11-12 00:01:20.121207,,2020,11,3,0,1,20,284,81,10000,5.7,0
0,0089,39,,,,2020-11-12 00:02:21.449119,,2020,11,3,0,2,21,284,81,10000,5.7,0
0,0089,44,,,,2020-11-12 00:02:21.449533,,2020,11,3,0,2,21,284,81,10000,5.7,0
0,6608G,51,,,,2020-11-12 00:02:22.733057,,2020,11,3,0,2,22,284,81,10000,5.7,0
0,6608G,82,,,,2020-11-12 00:02:24.442444,,2020,11,3,0,2,24,284,81,10000,5.7,0
0,0089,39,,,,2020-11-12 00:03:26.130360,,2020,11,3,0,3,26,284,81,10000,5.7,0
0,0089,44,,,,2020-11-12 00:03:26.130775,,2020,11,3,0,3,26,284,81,10000,5.7,0
0,6608G,51,,,,2020-11-12 00:03:27.423316,,2020,11,3,0,3,27,284,81,10000,5.7,0
0,6608G,82,,,,2020-11-12 00:03:29.136232,,2020,11,3,0,3,29,284,81,10000,5.7,0
0,0089,39,,,,2020-11-12 00:04:30.586140,,2020,11,3,0,4,30,284,81,10000,5.7,0
0,0089,44,,,,2020-11-12 00:04:30.586555,,2020,11,3,0,4,30,284,81,10000,5.7,0
0,6608G,51,,,,2020-11-12 00:04:31.877677,,2020,11,3,0,4,31,284,81,10000,5.7,0
0,6608G,82,,,,2020-11-12 00:04:33.592748,,2020,11,3,0,4,33,284,81,10000,5.7,0
0,0089,39,,,,2020-11-12 00:05:37.669630,,2020,11,3,0,5,37,284,81,10000,5.7,0
0,0089,44,,,,2020-11-12 00:05:37.670071,,2020,11,3,0,5,37,284,81,10000,5.7,0
0,6608G,51,,,,2020-11-12 00:05:38.963631,,2020,11,3,0,5,38,284,81,10000,5.7,0
0,6608G,82,,,,2020-11-12 00:05:40.670242,,2020,11,3,0,5,40,284,81,10000,5.7,0
0,0089,39,,,,2020-11-12 00:06:41.938097,,2020,11,3,0,6,41,284,81,10000,5.7,0
0,0089,44,,,,2020-11-12 00:06:41.938513,,2020,11,3,0,6,41,284,81,10000,5.7,0
0,6608G,51,,,,2020-11-12 00:06:43.222481,,2020,11,3,0,6,43,284,81,10000,5.7,0
0,6608G,82,,,,2020-11-12 00:06:44.939957,,2020,11,3,0,6,44,284,81,10000,5.7,0
0,0089,39,,,,2020-11-12 00:07:47.607305,,2020,11,3,0,7,47,284,81,10000,5.7,0
0,0089,44,,,,2020-11-12 00:07:47.607745,,2020,11,3,0,7,47,284,81,10000,5.7,0
0,6608G,51,,,,2020-11-12 00:07:48.896892,,2020,11,3,0,7,48,284,81,10000,5.7,0
